Timestamp,Vek,Pohlavie,Používate počítač?,Máte skúsenosti s webovými aplikáciami?,Koľko hodín priemerne strávite používaním mobilného telefónu?,Ako hodnotíte prehľadnosť návrhu?,Sú tlačidlá dostatočne veľké?,Ako by ste zmenili hlasitosť?,Ktoré tlačidlo by ste stlačili pre zapnutie hry?,Ktoré tlačidlo by ste stlačili pre zistenie aktuálnej pozície v rebríčku?,Čo vám na návrhu chýba?,Ako hodnotíte prehľadnosť?,Ako hodnotíte celkový vzhľad?,Ako hodnotíte rozloženie prvkov?,Je pre Vás nápoveda dostatočne jasná a zrozumiteľná?,"Zmenily by ste farbu niektorého z elementov? Ak áno, ktorého a akú farbu by ste preferovali?","Odporúčili by ste aplikáciu svojim priateľom a známym? Ak nie, svoje tvrdenie prosím zdôvodnite.",Aký je Váš názor na cenu produktu?
,,,,,,,,,,,,,,,,,,
28/10/2017 17:11:38,61-70,Muž,Nie,Nie,Menej ako 1 hodinu,4,Áno,Stlačením ikony reproduktoru,"Náhodná hra, Vyber hru",Tabuľka,,4,5,3,Áno,,Áno,Cena je primeraná kvalite
28/10/2017 17:13:35,41-60,Žena,Áno,Áno,2,4,Áno,Stlačením ikony reproduktoru,"Náhodná hra, Vyber hru",Tabuľka,,5,4,4,Áno,,Áno,Cena je vzhľadom na kvalitu nízka
01/11/2017 19:14:33,71-80,Žena,Nie,Nie,Menej ako 1 hodinu,2,Nie,Stlačením niektorého z tlačidiel,"Náhodná hra, Vyber hru, Tabuľka","Vyber hru, Tabuľka",,4,3,3,Nie,Modrú,Áno,Cena je príliš vysoká
01/11/2017 14:23:17,81+,Muž,Nie,Nie,Menej ako 1 hodinu,4,Nie,Stlačením ikony reproduktoru,"Vyber hru, Tabuľka",Tabuľka,,4,4,5,Nie,,Chýba mi viac hier.,Cena je príliš vysoká
01/11/2017 14:29:49,61-70,Žena,Áno,Áno,3+,4,Áno,Potiahnutím posuvníka pri reproduktore,Vyber hru,Tabuľka,Viac možností.,4,3,3,Áno,,Áno,Cena je primeraná kvalite
01/11/2017 19:32:08,61-70,Žena,Áno,Nie,3,4,Áno,Potiahnutím posuvníka pri reproduktore,"Náhodná hra, Vyber hru",Tabuľka,,4,4,3,Áno,,Áno,Cena je vzhľadom na kvalitu nízka
03/11/2017 19:34:01,71-80,Muž,Áno,Áno,1,4,Nie,Stlačením niektorého z tlačidiel,Náhodná hra,Tabuľka,,4,3,1,Nie,Zelenú,Áno,Cena je príliš vysoká
03/11/2017 19:38:02,0-40,Muž,Áno,Áno,3+,2,Áno,Potiahnutím posuvníka pri reproduktore,Náhodná hra,Tabuľka,,3,2,3,Áno,nie,Áno,Cena je príliš vysoká
03/11/2017 19:40:27,61-70,Žena,Áno,Áno,Menej ako 1 hodinu,4,Áno,Stlačením ikony reproduktoru,Náhodná hra,Tabuľka,,3,2,3,Áno,,Áno,Cena je primeraná kvalite
03/11/2017 19:42:30,0-40,Muž,Áno,Áno,1,4,Áno,Potiahnutím posuvníka pri reproduktore,"Náhodná hra, Vyber hru",Tabuľka,"Mozno dat tlacitka rovnakej velkosti, alebo rozna farba ze Ukoncit bude cervene povedzme. Alebo ak to chcete drzat cierno-biele tak kategorie tlacitok urobit rovnako velke",5,5,5,Áno,Ta bielo-cierna vyzera fajn.,"Chcel som dat ano, ale pri otazke cene produktu nieje uvedena cena.",Cena je primeraná kvalite
03/11/2017 19:44:52,71-80,Muž,Nie,Nie,Menej ako 1 hodinu,3,Áno,Stlačením niektorého z tlačidiel,"Náhodná hra, Vyber hru",Ukončiť,Výber jazykov,2,4,5,Nie,pozadie bz mohlo byt modre,"nie, moji znami nepouzivaju pocitac",Cena je príliš vysoká
